Semilla;Algoritmo;Tipo de lista;Longitud;Categorías o Proporción desorden;Tiempo
320;bubble;Aleatoria;1000;5;0.0692
320;bubble;Aleatoria;1000;10;0.0626
320;bubble;Aleatoria;1000;15;0.0728
320;bubble;Aleatoria;1000;20;0.0732
320;bubble;Aleatoria;1000;25;0.0659
320;bubble;Aleatoria;1000;30;0.0631
320;bubble;Aleatoria;1000;35;0.0645
320;bubble;Aleatoria;1000;40;0.0663
320;bubble;Aleatoria;1000;45;0.0711
320;bubble;Aleatoria;1000;50;0.0638
320;bubble;Casi ordenada;1000;0.1;0.0541
320;bubble;Casi ordenada;1000;0.2;0.0571
320;bubble;Casi ordenada;1000;0.3;0.0539
320;bubble;Casi ordenada;1000;0.4;0.0581
320;bubble;Casi ordenada;1000;0.5;0.0561
320;bubble;Casi ordenada;1000;0.6;0.0642
320;bubble;Casi ordenada;1000;0.7;0.0651
320;bubble;Casi ordenada;1000;0.799;0.0642
320;bubble;Casi ordenada;1000;0.899;0.0754
320;bubble;Aleatoria;2000;5;0.2379
320;bubble;Aleatoria;2000;10;0.2534
320;bubble;Aleatoria;2000;15;0.2609
320;bubble;Aleatoria;2000;20;0.2732
320;bubble;Aleatoria;2000;25;0.2773
320;bubble;Aleatoria;2000;30;0.2753
320;bubble;Aleatoria;2000;35;0.2763
320;bubble;Aleatoria;2000;40;0.2712
320;bubble;Aleatoria;2000;45;0.2712
320;bubble;Aleatoria;2000;50;0.2672
320;bubble;Casi ordenada;2000;0.1;0.2242
320;bubble;Casi ordenada;2000;0.2;0.2372
320;bubble;Casi ordenada;2000;0.3;0.2472
320;bubble;Casi ordenada;2000;0.4;0.2562
320;bubble;Casi ordenada;2000;0.5;0.2642
320;bubble;Casi ordenada;2000;0.6;0.2672
320;bubble;Casi ordenada;2000;0.7;0.2667
320;bubble;Casi ordenada;2000;0.7995;0.2692
320;bubble;Casi ordenada;2000;0.8995;0.2682
320;bubble;Aleatoria;3000;5;0.5305
320;bubble;Aleatoria;3000;10;0.5802
320;bubble;Aleatoria;3000;15;0.6124
320;bubble;Aleatoria;3000;20;0.6004
320;bubble;Aleatoria;3000;25;0.6005
320;bubble;Aleatoria;3000;30;0.6177
320;bubble;Aleatoria;3000;35;0.613
320;bubble;Aleatoria;3000;40;0.6198
320;bubble;Aleatoria;3000;45;0.6193
320;bubble;Aleatoria;3000;50;0.6179
320;bubble;Casi ordenada;3000;0.1;0.4941
320;bubble;Casi ordenada;3000;0.2;0.5225
320;bubble;Casi ordenada;3000;0.3;0.561
320;bubble;Casi ordenada;3000;0.4;0.5756
320;bubble;Casi ordenada;3000;0.5;0.5865
320;bubble;Casi ordenada;3000;0.6;0.6005
320;bubble;Casi ordenada;3000;0.7;0.6106
320;bubble;Casi ordenada;3000;0.8;0.6166
320;bubble;Casi ordenada;3000;0.8996666666666666;0.6106
320;bubble;Aleatoria;4000;5;0.9479
320;bubble;Aleatoria;4000;10;10.309
320;bubble;Aleatoria;4000;15;1.091
320;bubble;Aleatoria;4000;20;1.077
320;bubble;Aleatoria;4000;25;10.938
320;bubble;Aleatoria;4000;30;1.103
320;bubble;Aleatoria;4000;35;10.946
