Semilla,Algoritmo,Tipo de lista,Longitud,Categorías o Proporción desorden,Tiempo
320,pivotear,Aleatoria,100,5,0.0
320,pivotear,Aleatoria,100,15,0.0
320,pivotear,Casi ordenada,100,10,0.0
320,pivotear,Casi ordenada,100,20,0.0
320,pivotear,Casi ordenada,100,30,0.0
320,pivotear,Casi ordenada,100,40,0.0
320,pivotear,Casi ordenada,100,50,0.0
320,pivotear,Casi ordenada,100,60,0.001
320,pivotear,Casi ordenada,100,70,0.0
320,pivotear,Casi ordenada,100,80,0.0
320,pivotear,Casi ordenada,100,90,0.0
320,pivotear,Aleatoria,1100,5,0.001
320,pivotear,Aleatoria,1100,15,0.0
320,pivotear,Casi ordenada,1100,10,0.001
320,pivotear,Casi ordenada,1100,20,0.002
320,pivotear,Casi ordenada,1100,30,0.001
320,pivotear,Casi ordenada,1100,40,0.002
320,pivotear,Casi ordenada,1100,50,0.001
320,pivotear,Casi ordenada,1100,60,0.002
320,pivotear,Casi ordenada,1100,70,0.002
320,pivotear,Casi ordenada,1100,80,0.001
320,pivotear,Casi ordenada,1100,90,0.001
320,dividir_unir,Aleatoria,100,5,0.0
320,dividir_unir,Aleatoria,100,15,0.0
320,dividir_unir,Casi ordenada,100,10,0.0
320,dividir_unir,Casi ordenada,100,20,0.001
320,dividir_unir,Casi ordenada,100,30,0.0
320,dividir_unir,Casi ordenada,100,40,0.0
320,dividir_unir,Casi ordenada,100,50,0.0
320,dividir_unir,Casi ordenada,100,60,0.0
320,dividir_unir,Casi ordenada,100,70,0.0
320,dividir_unir,Casi ordenada,100,80,0.0
320,dividir_unir,Casi ordenada,100,90,0.001
320,dividir_unir,Aleatoria,1100,5,0.002
320,dividir_unir,Aleatoria,1100,15,0.002
320,dividir_unir,Casi ordenada,1100,10,0.0035
320,dividir_unir,Casi ordenada,1100,20,0.002
320,dividir_unir,Casi ordenada,1100,30,0.0031
320,dividir_unir,Casi ordenada,1100,40,0.002
320,dividir_unir,Casi ordenada,1100,50,0.003
320,dividir_unir,Casi ordenada,1100,60,0.002
320,dividir_unir,Casi ordenada,1100,70,0.002
320,dividir_unir,Casi ordenada,1100,80,0.003
320,dividir_unir,Casi ordenada,1100,90,0.002
